,type,title,district,price,area,bedroom,bathroom,incense,link
10,Nhà riêng,Nhà đẹp 4 phòng ngủ phường 7  Quận 8 - Mua vào ở ngay.,Q.8,"3,299 tỷ","47,2m²",4,3,T.Nam,https://propzy.vn/mua/nha-dep-4-phong-ngu-phuong-7-quan-8-mua-vao-o-ngay-id109901?src=location_xl_listing
11,Nhà riêng,Căn góc 2 mặt tiền phường 5 Quận 8 - Bán nhà thô,Q.8,"9,95 tỷ","56,9m²",4,5,T.Bắc,https://propzy.vn/mua/can-goc-2-mat-tien-phuong-5-quan-8-ban-nha-tho-id109871?src=location_xl_listing
12,Nhà riêng,Nhà mới thiết kế đẹp phường 9 quận 3.,Q.3,"6,5 tỷ","29,0m²",3,4,T.Nam,https://propzy.vn/mua/nha-moi-thiet-ke-dep-phuong-9-quan-3-id110003?src=location_xl_listing
13,Nhà riêng,Bán nhà riêng Quận 6,Q.6,"6,5 tỷ","67,0m²",3,2,Đ.Nam,https://propzy.vn/mua/ban-nha-rieng-quan-6-id109823?src=location_xl_listing
14,Nhà riêng,Bán nhà Quận Gò Vấp khu dân cư đông đúc - hẻm xe hơi 4m.,Q.Gò Vấp,"4,95 tỷ","56,8m²",2,2,T.Nam,https://propzy.vn/mua/ban-nha-quan-go-vap-khu-dan-cu-dong-duc-hem-xe-hoi-4m-id109790?src=location_xl_listing
15,Nhà riêng,Bán nhà riêng nhỏ xinh Quận 6  -  Gần chợ ,Q.6,"1,19 tỷ","10,1m²",1,1,Đông,https://propzy.vn/mua/ban-nha-rieng-nho-xinh-quan-6-gan-cho-id109616?src=location_xl_listing
16,Nhà riêng,Bán nhà cấp 4 mặt tiền Quận Tân Phú - Thuận tiện kinh doanh.,Q.Tân Phú,"7,5 tỷ","100,0m²",3,1,T.Nam,https://propzy.vn/mua/ban-nha-cap-4-mat-tien-quan-tan-phu-thuan-tien-kinh-doanh-id109217?src=location_xl_listing
17,Nhà riêng,Bán nhà Quận Gò Vấp - Hẻm an ninh - Ngay khu trung tâm - Gần Vòng xoay Gia Định,Q.Gò Vấp,4 tỷ,"64,9m²",1,1,T.Nam,https://propzy.vn/mua/ban-nha-quan-go-vap-hem-an-ninh-ngay-khu-trung-tam-gan-vong-xoay-gia-dinh-id106195?src=location_xl_listing
18,Nhà riêng,Chính chủ cần bán nhà xây dựng kiên cố 1 trệt 2 lầu huyện Hóc Môn - Mặt tiền đường nội bộ rộng 10m có vỉa hè,H.Hóc Môn,"4,8 tỷ","87,3m²",3,3,Bắc,https://propzy.vn/mua/chinh-chu-can-ban-nha-xay-dung-kien-co-1-tret-2-lau-huyen-hoc-mon-mat-tien-duong-noi-bo-rong-10m-co-via-he-id109457?src=location_xl_listing
19,Nhà riêng,Bán nhà riêng Quận 6 - Hẻm xe hơi - Nở hậu,Q.6,"6,7 tỷ","52,3m²",4,3,Đ.Nam,https://propzy.vn/mua/ban-nha-rieng-quan-6-hem-xe-hoi-no-hau-id109460?src=location_xl_listing
20,Nhà riêng,"Bán nhà nhỏ quận Tân Bình, khu an ninh",Q.Tân Bình,750 triệu,"9,0m²",1,1,Tây,https://propzy.vn/mua/ban-nha-nho-quan-tan-binh-khu-an-ninh-id109061?src=location_xl_listing
21,Nhà riêng,"Nhà bán Quận Tân Phú mặt tiền đường, khu dân cư sầm uất,",Q.Tân Phú,"12,5 tỷ","80,0m²",2,1,T.Nam,https://propzy.vn/mua/nha-ban-quan-tan-phu-mat-tien-duong-khu-dan-cu-sam-uat-id107954?src=location_xl_listing
22,Nhà riêng,Bán nhà riêng Quận 6 - Hẻm xe hơi - Nở hậu,Q.6,"7,6 tỷ","94,6m²",2,2,T.Bắc,https://propzy.vn/mua/ban-nha-rieng-quan-6-hem-xe-hoi-no-hau-id109019?src=location_xl_listing
23,Nhà riêng,Bán nhà Quận Gò Vấp - Hẻm ba gác - Khu an ninh - Nở hậu 4.14m,Q.Gò Vấp,"3,18 tỷ","46,8m²",2,1,Đông,https://propzy.vn/mua/ban-nha-quan-go-vap-hem-ba-gac-khu-an-ninh-no-hau-4-14m-id108593?src=location_xl_listing
24,Nhà riêng,"Bán nhà quận 4 - Nhà vuông vức, khu dân cư an ninh",Q.4,"4,2 tỷ","21,0m²",3,2,Đ.Nam,https://propzy.vn/mua/ban-nha-quan-4-nha-vuong-vuc-khu-dan-cu-an-ninh-id108704?src=location_xl_listing
25,Nhà riêng,Chính chủ bán nhà riêng huyện Hóc Môn- Hẻm bê tông rộng 5.5m,H.Hóc Môn,"7,2 tỷ","160,3m²",2,2,Bắc,https://propzy.vn/mua/chinh-chu-ban-nha-rieng-huyen-hoc-mon-hem-be-tong-rong-5-5m-id108218?src=location_xl_listing
26,Nhà riêng,Nhà mặt tiền Tân Bình thích hợp kinh doanh,Q.Tân Bình,"18,2 tỷ","91,9m²",2,2,Đ.Bắc,https://propzy.vn/mua/nha-mat-tien-tan-binh-thich-hop-kinh-doanh-id108146?src=location_xl_listing
27,Nhà riêng,Nhà bán hẻm nội bộ yên tĩnh quận Tân Phú xây dựng kiên cố,Q.Tân Phú,"4,5 tỷ","42,6m²",3,3,T.Nam,https://propzy.vn/mua/nha-ban-hem-noi-bo-yen-tinh-quan-tan-phu-xay-dung-kien-co-id107945?src=location_xl_listing
28,Nhà riêng,"Nhà bán Quận Gò Vấp - Hẻm an ninh, yên tĩnh, tiện xây mơi",Q.Gò Vấp,"3,3 tỷ","40,2m²",1,1,Đ.Bắc,https://propzy.vn/mua/nha-ban-quan-go-vap-hem-an-ninh-yen-tinh-tien-xay-moi-id107792?src=location_xl_listing
29,Nhà riêng,Căn góc 2 mặt tiền phường 5 Quận 8 - Sổ hồng riêng chính chủ,Q.8,13 tỷ,"59,9m²",4,4,Đ.Bắc,https://propzy.vn/mua/can-goc-2-mat-tien-phuong-5-quan-8-so-hong-rieng-chinh-chu-id107756?src=location_xl_listing
30,Nhà riêng,Nhà Quận 11 - Sổ hồng chính chủ -  Mặt tiền đường ,Q.11,15 tỷ,"74,4m²",2,2,T.Bắc,https://propzy.vn/mua/nha-quan-11-so-hong-chinh-chu-mat-tien-duong-id107369?src=location_xl_listing
31,Nhà riêng,Nhà hẻm quận Tân Bình an ninh yên tĩnh,Q.Tân Bình,"8,5 tỷ","81,2m²",1,1,Đ.Bắc,https://propzy.vn/mua/nha-hem-quan-tan-binh-an-ninh-yen-tinh-id107267?src=location_xl_listing
32,Nhà riêng,"Chính chủ bán nhà nát cấp 4 hẻm xe hơi, phường Hiệp Bình Chánh, Quận Thủ Đức",Q.Thủ Đức,3 tỷ,"33,9m²",2,1,Tây,https://propzy.vn/mua/chinh-chu-ban-nha-nat-cap-4-hem-xe-hoi-phuong-hiep-binh-chanh-quan-thu-duc-id106556?src=location_xl_listing
33,Nhà riêng,Nhà bán hẻm yên tĩnh quận Tân Phú nở hậu,Q.Tân Phú,"3,8 tỷ","40,5m²",2,2,Đ.Bắc,https://propzy.vn/mua/nha-ban-hem-yen-tinh-quan-tan-phu-no-hau-id106508?src=location_xl_listing
34,Nhà riêng,Nhà hẻm phường 9 Quận 8 - Gần cầu Chánh Hưng,Q.8,"3,6 tỷ","32,6m²",3,4,T.Nam,https://propzy.vn/mua/nha-hem-phuong-9-quan-8-gan-cau-chanh-hung-id106331?src=location_xl_listing
35,Nhà riêng,Nhà nở hậu gần bệnh viện Tân Phú,Q.Tân Bình,"3,3 tỷ","23,6m²",2,2,T.Nam,https://propzy.vn/mua/nha-no-hau-gan-benh-vien-tan-phu-id106169?src=location_xl_listing
36,Nhà riêng,"Bán Nhà hai mặt tiền Hẻm xe hơi 8m Đường Bùi Thanh Khiết Huyện Bình Chánh-Khu Dân Cư An Ninh-Gần trường Mầm Non,Cấp 1-Cấp2-Cấp3",H.Bình Chánh,"3,1 tỷ","51,3m²",2,2,T.Bắc,https://propzy.vn/mua/ban-nha-hai-mat-tien-hem-xe-hoi-8m-duong-bui-thanh-khiet-huyen-binh-chanh-khu-dan-cu-an-ninh-gan-truong-mam-non-cap-1-cap2-cap3-id106265?src=location_xl_listing
37,Nhà riêng,Nhà hẻm phường 5 Quận 8 - Đang cho thuê 7 triệu/tháng,Q.8,"2,85 tỷ","21,9m²",2,2,T.Nam,https://propzy.vn/mua/nha-hem-phuong-5-quan-8-dang-cho-thue-7-trieu-thang-id106221?src=location_xl_listing
38,Nhà riêng,Nhà hẻm phường 7 Quận 8 - Gần chợ Phú Lợi,Q.8,"2,95 tỷ","48,9m²",1,1,T.Nam,https://propzy.vn/mua/nha-hem-phuong-7-quan-8-gan-cho-phu-loi-id105725?src=location_xl_listing
39,Nhà riêng,Chính chủ cần bán nhà cấp 4 huyện Hóc Môn- Hẻm bê tông rộng 3m,H.Hóc Môn,"3,2 tỷ","85,1m²",1,1,Đ.Bắc,https://propzy.vn/mua/chinh-chu-can-ban-nha-cap-4-huyen-hoc-mon-hem-be-tong-rong-3m-id105980?src=location_xl_listing
40,Nhà riêng,Bán nhà liên kề Rosita Garden Khang Điền 6x23 phường Phú Hữu quận 9 thiết kế siêu đẹp,Q.9,"5,5 tỷ","132,0m²",0,0,T.Nam,https://propzy.vn/mua/ban-nha-lien-ke-rosita-garden-khang-dien-6x23-phuong-phu-huu-quan-9-thiet-ke-sieu-dep-id105806?src=location_xl_listing
41,Nhà riêng,"Bán nhà mới xây, 1 trệt, 2 lầu,  khu dân cư Điền Phúc Thành phường Long Trường, Quận 9 - Sổ hồng riêng",Q.9,"4,55 tỷ","100,0m²",4,4,Nam,https://propzy.vn/mua/ban-nha-moi-xay-1-tret-2-lau-khu-dan-cu-dien-phuc-thanh-phuong-long-truong-quan-9-so-hong-rieng-id105350?src=location_xl_listing
42,Nhà riêng,Bán nhà riêng huyện Hóc Môn- Hẻm bê tông rộng 2.5m,H.Hóc Môn,"2,4 tỷ","55,7m²",2,1,T.Nam,https://propzy.vn/mua/ban-nha-rieng-huyen-hoc-mon-hem-be-tong-rong-2-5m-id105377?src=location_xl_listing
43,Nhà riêng,"Bán nhà riêng Quận 10 - Sổ hồng chính chủ, giao dịch ngay",Q.10,9 tỷ,"54,2m²",4,2,T.Bắc,https://propzy.vn/mua/ban-nha-rieng-quan-10-so-hong-chinh-chu-giao-dich-ngay-id105260?src=location_xl_listing
44,Nhà riêng,"Bán nhà Quận Tân Phú mặt tiền đường đông đúc, xây dựng kiên cố",Q.Tân Phú,"15,5 tỷ","87,0m²",2,3,Tây,https://propzy.vn/mua/ban-nha-quan-tan-phu-mat-tien-duong-dong-duc-xay-dung-kien-co-id105140?src=location_xl_listing
45,Nhà riêng,Bán nhà Quận Gò Vấp - Hẻm xe hơi - Sân để xe rộng rãi - Nhà mới vào ở ngay,Q.Gò Vấp,"8,2 tỷ","119,6m²",4,4,Đ.Nam,https://propzy.vn/mua/ban-nha-quan-go-vap-hem-xe-hoi-san-de-xe-rong-rai-nha-moi-vao-o-ngay-id104861?src=location_xl_listing
46,Nhà riêng,"Bán nhà riêng hẻm nhựa 6m, thông thoáng, cách mặt tiền khoảng 50m Quận 12",Q.12,"2,7 tỷ","59,3m²",2,2,Đông,https://propzy.vn/mua/ban-nha-rieng-hem-nhua-6m-thong-thoang-cach-mat-tien-khoang-50m-quan-12-id104531?src=location_xl_listing
47,Nhà riêng,"Bán nhà riêng Quận 11 - Khu dân cư an ninh, yên tĩnh - Sổ hồng chính chủ",Q.11,"3,98 tỷ","33,6m²",3,3,Nam,https://propzy.vn/mua/ban-nha-rieng-quan-11-khu-dan-cu-an-ninh-yen-tinh-so-hong-chinh-chu-id104423?src=location_xl_listing
48,Nhà riêng,"Bán nhà cấp 4 hẻm ô tô Đường 359, Phường Phước Long B - Quận 9",Q.9,"4,4 tỷ","72,2m²",2,1,Đ.Nam,https://propzy.vn/mua/ban-nha-cap-4-hem-o-to-duong-359-phuong-phuoc-long-b-quan-9-id104135?src=location_xl_listing
49,Nhà riêng,Bán nhà Quận 11 - Sổ hồng chính chủ  - Nhà xây dựng kiên cố,Q.11,9 tỷ,"34,0m²",3,4,T.Nam,https://propzy.vn/mua/ban-nha-quan-11-so-hong-chinh-chu-nha-xay-dung-kien-co-id104222?src=location_xl_listing
50,Nhà riêng,"Chính chủ cần bán gấp nhà cấp 4, hẻm xe Tải phường Linh Đông, Quận Thủ Đức",Q.Thủ Đức,12 tỷ,"187,4m²",5,3,Tây,https://propzy.vn/mua/chinh-chu-can-ban-gap-nha-cap-4-hem-xe-tai-phuong-linh-dong-quan-thu-duc-id103991?src=location_xl_listing
51,Nhà riêng,Nhà hẻm xe ba gác phường 7 Quận 8 - Giá tốt chưa qua đầu tư,Q.8,"3,4 tỷ","53,4m²",4,4,Đ.Nam,https://propzy.vn/mua/nha-hem-xe-ba-gac-phuong-7-quan-8-gia-tot-chua-qua-dau-tu-id104225?src=location_xl_listing
52,Nhà riêng,Bán nhà hẻm Quận 4 - Gần Chợ 200 Xóm Chiếu,Q.4,"4,75 tỷ","47,7m²",1,1,Đ.Nam,https://propzy.vn/mua/ban-nha-hem-quan-4-gan-cho-200-xom-chieu-id103892?src=location_xl_listing
53,Nhà riêng,Nhà nở hậu mặt tiền đường đang cho thuê giá cao,Q.Tân Bình,45 tỷ,"97,9m²",6,4,T.Nam,https://propzy.vn/mua/nha-no-hau-mat-tien-duong-dang-cho-thue-gia-cao-id103898?src=location_xl_listing
54,Nhà riêng,Nhà hẻm xe hơi Tân Bình,Q.Tân Bình,"4,85 tỷ","51,2m²",3,4,T.Nam,https://propzy.vn/mua/nha-hem-xe-hoi-tan-binh-id103820?src=location_xl_listing
55,Nhà riêng,Bán nhà Hẻm thông thoáng Ngay trung Tâm Thị Trấn Huyện Nhà Bè-Hẻm thông-Gần Ngân Hàng-Sổ Hồng chính chủ,H.Nhà Bè,"3,95 tỷ","121,1m²",2,2,Đông,https://propzy.vn/mua/ban-nha-hem-thong-thoang-ngay-trung-tam-thi-tran-huyen-nha-be-hem-thong-gan-ngan-hang-so-hong-chinh-chu-id103655?src=location_xl_listing
56,Nhà riêng,"Bán nhà đường số quận 4 - Nhà đẹp, khu dân cư hiện hữu",Q.4,"8,85 tỷ","31,9m²",4,4,Đ.Nam,https://propzy.vn/mua/ban-nha-duong-so-quan-4-nha-dep-khu-dan-cu-hien-huu-id103781?src=location_xl_listing
57,Nhà riêng,"Bán gấp nhà 1 trệt, 1 lửng, 1 lầu đường Hồ Văn Tư, phường Trường Thọ, Quận Thủ Đức",Q.Thủ Đức,"3,9 tỷ","47,2m²",3,3,Đ.Bắc,https://propzy.vn/mua/ban-gap-nha-1-tret-1-lung-1-lau-duong-ho-van-tu-phuong-truong-tho-quan-thu-duc-id103454?src=location_xl_listing
58,Nhà riêng,"Chính chủ bán nhà 2 mặt tiền đường Khu Cư Xá Điện Lực, phường Trường Thọ, Quận Thủ Đức",Q.Thủ Đức,"9,35 tỷ","132,8m²",6,5,T.Nam,https://propzy.vn/mua/chinh-chu-ban-nha-2-mat-tien-duong-khu-cu-xa-dien-luc-phuong-truong-tho-quan-thu-duc-id103442?src=location_xl_listing
59,Nhà riêng,"Chính chủ bán nhà cấp 4, hẻm xe ba gác phường Linh Chiểu, Quận Thủ Đức",Q.Thủ Đức,"2,35 tỷ","43,3m²",2,1,Đ.Nam,https://propzy.vn/mua/chinh-chu-ban-nha-cap-4-hem-xe-ba-gac-phuong-linh-chieu-quan-thu-duc-id103310?src=location_xl_listing
60,Nhà riêng,"Bán nhà Quận 10 - Sổ hồng chính chủ - Khu dân cư an ninh, yên tĩnh",Q.10,"4,3 tỷ","32,1m²",2,2,Đ.Nam,https://propzy.vn/mua/ban-nha-quan-10-so-hong-chinh-chu-khu-dan-cu-an-ninh-yen-tinh-id103508?src=location_xl_listing
61,Nhà riêng,Nhà  đẹp phường 1 Quận 8 - Đang kinh doanh căn hộ dịch vụ,Q.8,"10,8 tỷ","90,0m²",11,11,T.Nam,https://propzy.vn/mua/nha-dep-phuong-1-quan-8-dang-kinh-doanh-can-ho-dich-vu-id103493?src=location_xl_listing
62,Nhà riêng,"Nhà hẻm xe ô tô, thiết kế đẹp, hướng Đông",Q.Phú Nhuận,"5,7 tỷ","35,8m²",7,5,Đông,https://propzy.vn/mua/nha-hem-xe-o-to-thiet-ke-dep-huong-dong-id103289?src=location_xl_listing
63,Nhà riêng,Nhà Khu Xóm Đạo  gần nhà thờ Bình An phường 7 Quận 8,Q.8,"2,5 tỷ","22,3m²",3,3,T.Nam,https://propzy.vn/mua/nha-khu-xom-dao-gan-nha-tho-binh-an-phuong-7-quan-8-id103130?src=location_xl_listing
64,Nhà riêng,"Bán nhà hẻm quận 4 - Nhà trống, khu dân cư hiện hữu, gần trường TH Đoàn Thị Điểm",Q.4,"2,95 tỷ","26,5m²",1,2,T.Bắc,https://propzy.vn/mua/ban-nha-hem-quan-4-nha-trong-khu-dan-cu-hien-huu-gan-truong-th-doan-thi-diem-id103001?src=location_xl_listing
65,Nhà riêng,"Nhà bán Quận Gò Vấp, - Thuận tiện di chuyển, khu dân cư an ninh.",Q.Gò Vấp,"2,6 tỷ","50,2m²",1,1,Đ.Nam,https://propzy.vn/mua/nha-ban-quan-go-vap-thuan-tien-di-chuyen-khu-dan-cu-an-ninh-id102794?src=location_xl_listing
66,Nhà riêng,"Bán nhà Quận 10 - Sổ hồng chính chủ - Nhà xây kiên cố, vào ở ngay",Q.10,"6,5 tỷ","54,3m²",1,1,Đ.Nam,https://propzy.vn/mua/ban-nha-quan-10-so-hong-chinh-chu-nha-xay-kien-co-vao-o-ngay-id102737?src=location_xl_listing
67,Nhà riêng,Bán nhà riêng Quận 5 - Gần chợ và  trường học,Q.5,"7,5 tỷ","22,4m²",3,3,Đông,https://propzy.vn/mua/ban-nha-rieng-quan-5-gan-cho-va-truong-hoc-id102701?src=location_xl_listing
68,Nhà riêng,Bán nhà Quận Tân Phú - Khu dân cư an ninh.,Q.Tân Phú,"2,6 tỷ","21,7m²",2,1,Nam,https://propzy.vn/mua/ban-nha-quan-tan-phu-khu-dan-cu-an-ninh-id102452?src=location_xl_listing
69,Nhà riêng,Nhà nở hậu hẻm xe tải xây dựng kiên cố,Q.Tân Bình,"8,7 tỷ","94,4m²",4,5,Đ.Bắc,https://propzy.vn/mua/nha-no-hau-hem-xe-tai-xay-dung-kien-co-id102479?src=location_xl_listing
70,Nhà riêng,"Nhà 1 trệt, 1 lửng, hẻm an ninh P. Bình Hưng Hòa A, Bình Tân - Gần Chợ Bình Long",Q.Bình Tân,"2,7 tỷ","35,8m²",2,1,Đông,https://propzy.vn/mua/nha-1-tret-1-lung-hem-an-ninh-p-binh-hung-hoa-a-binh-tan-gan-cho-binh-long-id102428?src=location_xl_listing
71,Nhà riêng,"Nhà Phú Nhuận hẻm xe ba gác, hướng Tây",Q.Phú Nhuận,"3,5 tỷ","18,9m²",2,2,Tây,https://propzy.vn/mua/nha-phu-nhuan-hem-xe-ba-gac-huong-tay-id102140?src=location_xl_listing
72,Nhà riêng,"Nhà nhỏ xinh sổ hồng riêng, nội thất đẹp phường 12 quận 3.",Q.3,"1,55 tỷ","6,4m²",2,1,Nam,https://propzy.vn/mua/nha-nho-xinh-so-hong-rieng-noi-that-dep-phuong-12-quan-3-id102128?src=location_xl_listing
73,Nhà riêng,"Chính chủ bán gấp nhà cấp 4 hẻm xe máy, đường số 12, phường Tam Bình, Quận Thủ Đức",Q.Thủ Đức,"2,65 tỷ","40,9m²",1,1,Đ.Nam,https://propzy.vn/mua/chinh-chu-ban-gap-nha-cap-4-hem-xe-may-duong-so-12-phuong-tam-binh-quan-thu-duc-id101990?src=location_xl_listing
74,Nhà riêng,Bán khu Chợ Vải quận Tân Phú hẻm xe hơi - Thuận tiện kinh doanh.,Q.Tân Phú,"6,7 tỷ","53,5m²",2,2,Đông,https://propzy.vn/mua/ban-khu-cho-vai-quan-tan-phu-hem-xe-hoi-thuan-tien-kinh-doanh-id101516?src=location_xl_listing
75,Nhà riêng,Bán nhà riêng huyện Hóc Môn- Hẻm xe ba gác rộng 3m,H.Hóc Môn,"2,1 tỷ","44,3m²",2,1,Đ.Nam,https://propzy.vn/mua/ban-nha-rieng-huyen-hoc-mon-hem-xe-ba-gac-rong-3m-id101522?src=location_xl_listing
76,Nhà riêng,"Nhà nở hậu, hẻm xe ba gác, hướng Tây",Q.Phú Nhuận,"5,8 tỷ","38,6m²",4,3,Tây,https://propzy.vn/mua/nha-no-hau-hem-xe-ba-gac-huong-tay-id100149?src=location_xl_listing
77,Nhà riêng,"Bán gấp nhà hẻm phường Phước Long A, Quận 9 - Sổ hồng riêng chính chủ",Q.9,3 tỷ,"50,0m²",2,1,T.Bắc,https://propzy.vn/mua/ban-gap-nha-hem-phuong-phuoc-long-a-quan-9-so-hong-rieng-chinh-chu-id101153?src=location_xl_listing
78,Nhà riêng,Bán Nhà Mặt tiền Đường Dương cát lợi Ngay Thị Trấn nhà Bè Chợ Phú Xuân Huyện Nhà Bè-Liền kề Quận 7,H.Nhà Bè,"6,6 tỷ","127,5m²",1,1,Bắc,https://propzy.vn/mua/ban-nha-mat-tien-duong-duong-cat-loi-ngay-thi-tran-nha-be-cho-phu-xuan-huyen-nha-be-lien-ke-quan-7-id100916?src=location_xl_listing
79,Nhà riêng,"Bán nhà  hẻm xe hơi  đường Xô Viết Nghệ Tỉnh, quận Bình thạnh, thích hợp để ở",Q.Bình Thạnh,"9,8 tỷ","94,8m²",3,3,Đ.Bắc,https://propzy.vn/mua/ban-nha-hem-xe-hoi-duong-xo-viet-nghe-tinh-quan-binh-thanh-thich-hop-de-o-id100856?src=location_xl_listing
80,Nhà riêng,"Bán nhà mặt tiền đường quận Tân Phú, xây dựng kiên cố, có sân vườn, thiết kế hiện đại",Q.Tân Phú,"7,8 tỷ","74,9m²",4,3,T.Nam,https://propzy.vn/mua/ban-nha-mat-tien-duong-quan-tan-phu-xay-dung-kien-co-co-san-vuon-thiet-ke-hien-dai-id100454?src=location_xl_listing
81,Nhà riêng,Bán nhà riêng Quận Tân Phú - hẻm xe tải thông thoáng.,Q.Tân Phú,"8,3 tỷ","52,5m²",6,6,Đông,https://propzy.vn/mua/ban-nha-rieng-quan-tan-phu-hem-xe-tai-thong-thoang-id100181?src=location_xl_listing
82,Nhà riêng,"Bán nhà mặt tiền đường khu Tên Lửa, View công viên, nội thất sang trọng",Q.Bình Tân,"13,5 tỷ","90,0m²",4,5,Bắc,https://propzy.vn/mua/ban-nha-mat-tien-duong-khu-ten-lua-view-cong-vien-noi-that-sang-trong-id100244?src=location_xl_listing
83,Nhà riêng,"Nhà bán Quận Gò Vấp, - Nhà xây kiên cố - khu dân cư an ninh yên tĩnh,",Q.Gò Vấp,"6,3 tỷ","59,1m²",4,5,Đ.Bắc,https://propzy.vn/mua/nha-ban-quan-go-vap-nha-xay-kien-co-khu-dan-cu-an-ninh-yen-tinh-id100217?src=location_xl_listing
84,Nhà riêng,"Bán nhà 2 mặt tiền Quận Tân Phú - Khu dân cư an ninh, yên tĩnh.",Q.Tân Phú,"2,4 tỷ","13,6m²",2,1,Đ.Bắc,https://propzy.vn/mua/ban-nha-2-mat-tien-quan-tan-phu-khu-dan-cu-an-ninh-yen-tinh-id99923?src=location_xl_listing
85,Nhà riêng,"Nhà hẻm xe ô tô, yên tĩnh, hướng Đông Nam",Q.Tân Bình,7 tỷ,"67,9m²",3,2,Đ.Nam,https://propzy.vn/mua/nha-hem-xe-o-to-yen-tinh-huong-dong-nam-id99794?src=location_xl_listing
86,Nhà riêng,Bán nhà hẻm xe ba gác - Quận Tân Phú xây dựng chắc chắn kiên cố.,Q.Tân Phú,"2,85 tỷ","25,4m²",2,1,Đ.Bắc,https://propzy.vn/mua/ban-nha-hem-xe-ba-gac-quan-tan-phu-xay-dung-chac-chan-kien-co-id99326?src=location_xl_listing
87,Nhà riêng,"Bán nhà hẻm quận 4 - Nhà mới xây, dân cư hiện hữu",Q.4,"2,7 tỷ","22,8m²",4,4,Đ.Bắc,https://propzy.vn/mua/ban-nha-hem-quan-4-nha-moi-xay-dan-cu-hien-huu-id99146?src=location_xl_listing
88,Nhà riêng,"Bán nhà phường An Phú, quận 2. Căn góc 2 mặt đường rộng. Phù hợp kinh doanh, đầu tư sinh lời.",Q.2,"17,5 tỷ","124,0m²",4,1,Đ.Bắc,https://propzy.vn/mua/ban-nha-phuong-an-phu-quan-2-can-goc-2-mat-duong-rong-phu-hop-kinh-doanh-dau-tu-sinh-loi-id98117?src=location_xl_listing
